index	proportionOn	meanEdist	meanMu.on.dim1	meanMu.on.dim2
690	0.00933	1.33	-0.337	-0.148
691	0.00888	2.93	1.64	1.81
692	0.0493	2.31	1.82	1.14
693	0.0382	2.1	-1.32	-0.98
694	0.00444	1.31	0.78	0.782
695	0.0124	2.49	2.21	0.486
696	0.0258	1.92	1.12	-0.454
697	0.0977	2.69	2.03	-1.06
698	0.0187	1.81	0.718	-0.132
699	0.693	2.98	2.46	-1.23
700	0.0173	1.61	-0.857	0.486
701	0.032	2	-1.68	0.105
702	0.0315	1.82	0.703	-1.26
703	0.141	2.17	1.13	-1.54
704	0.0498	1.88	0.635	-1.37
705	0.201	3.33	3.19	-0.282
706	0.386	3.48	3.33	-0.426
707	0.199	3.69	3.56	-0.155
708	0.149	4.94	4.58	-1.54
709	0.457	5.35	4.8	-2.15
710	0.463	4.89	4.15	-2.4
711	0.00888	1.61	0.773	-0.725
712	0.0124	1.4	-0.748	0.0125
713	0.0107	1.18	-0.335	-0.437
714	0.00666	1.21	-0.277	-0.298
715	0.00933	1.06	-0.56	-0.256
716	0.0111	1.37	-0.0114	-0.0844
717	0.00755	1.13	-0.0672	-0.56
718	0.00622	0.886	-0.51	-0.144
719	0.0129	1.59	0.793	-0.685
720	0.0111	1.3	0.386	-0.918
721	0.00933	1.09	-0.262	-0.329
722	0.00711	1.05	0.131	-0.646
723	0.00578	0.736	0.0844	-0.407
724	0.00622	1.16	-0.129	-0.479
725	0.00977	1.01	-0.0886	-0.744
726	0.004	1.08	0.191	-0.888
727	0.00888	1.23	0.517	-0.352
728	0.00888	1.32	0.43	-0.273
729	0.00977	1.01	0.418	0.0658
730	0.0142	1.1	0.783	0.299
731	0.0138	1.4	-0.281	0.496
732	0.00578	1.19	-0.0939	0.893
733	0.0107	1.28	0.678	0.0297
734	0.0116	1.27	-0.533	0.54
735	0.00711	0.903	0.0583	0.358
736	0.00755	1.16	0.172	0.785
737	0.00711	0.941	-0.481	0.577
738	0.00578	0.897	0.199	0.734
739	0.012	1.42	-0.405	0.75
740	0.0129	1.46	-0.407	0.317
741	0.0244	1.67	1.31	-0.459
742	0.008	1.43	1.1	-0.353
743	0.00444	0.733	0.233	0.258
744	0.00888	1.11	0.468	0.781
745	0.0116	0.986	0.472	0.709
746	0.0258	2.28	1.09	1.71
747	0.00888	1.41	0.136	0.886
748	0.983	3.38	1.31	2.97
749	0.0422	3.91	3.66	-0.685
750	0.00489	1.99	1.69	0.0556
751	0.00178	2.03	1.96	-0.327
752	0.00267	1.06	0.768	-0.455
753	0.0258	2.46	2.22	-0.0132
754	0.0107	2.35	2.09	0.291
755	0.0382	3	2.79	0.0255
756	0.117	3.32	3.15	-0.0602
757	0.00489	2.83	2.5	-0.0284
758	0.00267	3.12	2.79	-0.293
759	0.00355	2.53	2.3	-0.000619
760	0.0386	2.2	1.7	-0.00497
761	0.847	3.71	3.6	0.133
762	0.00533	2.97	2.85	0.352
763	0.0129	1.19	-0.229	-0.119
764	0.012	1.39	0.34	-0.237
765	0.0342	2.92	2.72	0.0988
766	0.00933	1.59	0.431	0.465
767	0.234	2.89	2.77	0.0484
768	0.127	2.62	2.49	0.148
769	0.395	2.74	2.62	0.0785
770	0.0426	2.47	2.28	0.136
771	0.0409	2.56	2.38	0.156
772	0.00578	2.13	2	0.0521
773	0.0107	2.74	2.53	0.0308
774	0.402	4.64	4.51	-0.21
775	0.335	4.96	4.84	-0.21
776	0.382	4.63	4.48	-0.228
777	0.98	6.16	6.05	-0.00563
778	0.028	5.19	5.02	-0.122
779	0.0147	1.37	0.053	0.181
780	0.0102	1.76	-0.0861	0.408
781	0.00888	1.36	0.235	0.213
782	0.00311	3.08	2.79	-0.43
783	0.00844	2.71	2.46	-0.183
784	0.00533	2.47	2.15	0.649
785	0.0164	1.37	-0.066	-0.254
786	0.0111	1.6	-0.162	0.101
787	0.0147	2.98	2.59	0.428
788	0.217	3.03	2.73	0.153
789	0.683	3.1	2.82	0.159
790	0.0142	1.6	-0.434	0.147
791	0.0155	1.45	-0.432	0.284
792	0.0138	2.73	2.42	0.0284
793	0.00355	1.8	1.34	-0.578
794	0.00267	1.94	1.5	-0.322
795	0.0191	1.84	-0.95	-0.177
796	0.0253	1.75	-1.02	0.0931
797	0.0235	1.87	-1.23	-0.2
798	0.0267	1.93	-1.16	-0.258
799	0.0218	1.73	-1.15	-0.145
800	0	NA	NA	NA
801	0.000888	1.7	1.68	0.186
802	1	0.984	-0.0112	0.0881
