index	proportionOn	meanEdist	meanMu.on.dim1	meanMu.on.dim2
572	0.00666	1.2	0.247	-0.353
644	0.00666	1.12	0.182	0.078
657	0.00666	1.38	-0.0467	0.228
714	0.00666	1.21	-0.277	-0.298
234	0.00622	1.07	0.255	0.222
273	0.00622	1.17	-0.311	-0.164
354	0.00622	1.21	-0.323	0.0348
452	0.00622	1.55	0.459	1.09
599	0.00622	0.965	0.155	0.476
718	0.00622	0.886	-0.51	-0.144
724	0.00622	1.16	-0.129	-0.479
92	0.00578	1.33	0.0256	0.111
113	0.00578	1.23	0.427	0.0711
279	0.00578	1.19	-0.414	-0.257
486	0.00578	0.911	0.101	-0.323
510	0.00578	0.786	-0.0467	0.253
513	0.00578	0.833	-0.171	-0.46
525	0.00578	1.16	-0.12	-0.319
596	0.00578	1.18	-0.285	-0.204
621	0.00578	1.1	-0.134	-0.131
723	0.00578	0.736	0.0844	-0.407
732	0.00578	1.19	-0.0939	0.893
738	0.00578	0.897	0.199	0.734
772	0.00578	2.13	2	0.0521
66	0.00533	1.11	0.0425	0.0273
196	0.00533	0.863	-0.587	-0.0305
384	0.00533	0.987	-0.528	0.238
448	0.00533	0.888	0.198	-0.413
471	0.00533	0.912	-0.0932	-0.224
609	0.00533	0.852	0.71	0.162
625	0.00533	0.956	-0.124	-0.00802
645	0.00533	2.22	2.13	-0.219
762	0.00533	2.97	2.85	0.352
784	0.00533	2.47	2.15	0.649
121	0.00489	1.07	-0.0529	0.209
197	0.00489	0.838	-0.0888	0.224
383	0.00489	1.13	-0.356	-0.319
447	0.00489	1.06	-0.502	-0.339
563	0.00489	1.13	0.166	0.213
600	0.00489	0.878	0.212	0.266
626	0.00489	0.644	0.0482	0.226
750	0.00489	1.99	1.69	0.0556
757	0.00489	2.83	2.5	-0.0284
449	0.00444	1.05	0.682	-0.681
623	0.00444	1.01	0.874	-0.161
694	0.00444	1.31	0.78	0.782
743	0.00444	0.733	0.233	0.258
94	0.004	0.784	0.48	0.148
390	0.004	0.819	-0.245	-0.192
482	0.004	0.595	0.495	-0.126
484	0.004	0.549	-0.0784	0.125
489	0.004	0.59	-0.255	0.0931
490	0.004	0.608	-0.136	-0.216
591	0.004	1.31	0.556	0.0523
594	0.004	0.773	-0.299	-0.0527
602	0.004	1.16	0.922	0.185
606	0.004	1.25	0.839	-0.359
627	0.004	0.893	0.701	0.0571
640	0.004	1.21	1.06	0.0651
682	0.004	2.33	1.94	0.754
726	0.004	1.08	0.191	-0.888
236	0.00355	0.723	0.527	-0.279
476	0.00355	0.532	-0.2	-0.172
508	0.00355	0.91	-0.576	0.246
511	0.00355	0.964	0.133	0.108
610	0.00355	0.929	0.661	0.239
671	0.00355	2.16	1.98	0.437
759	0.00355	2.53	2.3	-0.000619
793	0.00355	1.8	1.34	-0.578
250	0.00311	0.971	0.381	0.106
590	0.00311	0.85	0.0551	-0.0275
593	0.00311	0.714	0.000329	0.0809
595	0.00311	1.36	-0.308	0.843
782	0.00311	3.08	2.79	-0.43
69	0.00267	0.554	0.367	-0.098
160	0.00267	0.512	-0.185	0.166
450	0.00267	0.812	0.139	0.12
534	0.00267	0.701	0.219	0.0285
650	0.00267	0.426	0.0616	-0.317
752	0.00267	1.06	0.768	-0.455
758	0.00267	3.12	2.79	-0.293
794	0.00267	1.94	1.5	-0.322
379	0.00222	0.564	-0.11	0.0423
472	0.00222	0.683	0.483	0.122
491	0.00222	0.783	0.146	0.652
493	0.00222	0.732	-0.422	-0.0576
503	0.00222	0.43	-0.0415	0.128
670	0.00222	3.17	2.68	1.29
307	0.00178	0.73	0.466	0.295
505	0.00178	0.536	-0.182	0.441
506	0.00178	0.648	-0.474	-0.105
628	0.00178	0.584	0.555	-0.013
639	0.00178	0.45	0.117	0.047
646	0.00178	2.34	2.03	-0.606
666	0.00178	1.23	0.282	-0.587
751	0.00178	2.03	1.96	-0.327
353	0.00133	0.787	0.0282	0.241
507	0.00133	0.517	-0.319	-0.081
638	0.00133	0.755	0.566	-0.00584
664	0.00133	0.763	0.402	-0.0444
398	0.000888	0.488	0.303	0.0503
473	0.000888	0.507	0.0931	0.416
624	0.000888	0.407	0.352	-0.0228
647	0.000888	2.43	2.16	-0.757
660	0.000888	0.492	0.458	-0.0515
663	0.000888	1.24	1.04	-0.188
801	0.000888	1.7	1.68	0.186
649	0.000444	0.815	0.617	0.532
665	0.000444	0.109	-0.0876	-0.065
667	0.000444	1.59	-1.36	0.815
800	0	NA	NA	NA
